author_id,author_name,author_gender,birthplace,author_review_count,author_rating_count,author_average_rating
2994705,"Addison Fox
",0,,823,6408,"3,77"
13434447,"C.T. Phipps
",1,0.0,1063,5749,"4,01"
311174,"Trisha Ashley
",0,14.0,2445,29641,"3,95"
5060731,"E.J. Deen
",0,,7,64,"4,06"
7066576,"B.N. Mauldin
",1,,24,144,"4,24"
34429,"Bruce Sterling
",1,0.0,5979,115121,"3,83"
6934883,"Christine S. Feldman
",0,,331,1868,"3,92"
130704,"Rudy Rucker
",1,0.0,1681,27585,"3,82"
11349,"Debbie Macomber
",0,0.0,56154,754383,"4,01"
10987,"Laura Joh Rowland
",0,0.0,1856,22976,"3,84"
1003655,"K.W. Jeter
",1,0.0,1463,24121,"3,57"
61958,"John Shirley
",1,0.0,2860,37010,"3,87"
13705,"George Selden
",1,0.0,1690,57810,"4,01"
395,"Jane Feather
",0,2218.0,2111,29928,"3,57"
7231,"Christie Ridgway
",1,,3701,36572,"3,83"
215710,"Joel Shepherd
",1,53.0,845,14783,"4,09"
6861666,"Jeannie Moon
",0,,1242,6596,"3,98"
4410813,"Katie Lane
",0,0.0,1772,13481,"4,07"
3033292,"Gary Ballard
",1,0.0,90,700,"3,9"
38217,"Lori Wilde
",0,0.0,3986,39105,"3,89"
17064,"Maggie Shayne
",0,0.0,7957,149387,"4,05"
419233,"Phillipa Ashley
",1,14.0,838,9758,"3,95"
5350056,"William Hertling
",1,0.0,1092,13635,"3,95"
1264,"Jean Baudrillard
",1,86.0,1125,22984,"3,94"
809148,"Jeff Somers
",1,0.0,1239,10561,"3,78"
14454,"Michael Swanwick
",1,0.0,6660,68934,"3,83"
19860,"James Francis Cameron
",1,8.0,374,23284,"4,06"
3198951,"Karen  Erickson
",0,0.0,2867,36261,"3,76"
27841,"Pat Cadigan
",0,0.0,4777,47226,"3,79"
703032,"Penny Watson
",0,0.0,914,3895,"3,75"
485862,"David Louis Edelman
",1,0.0,229,2870,"3,76"
3450,"Yukito Kishiro
",1,118.0,766,24534,"4,2"
6585223,"Victoria  James
",1,,1812,11583,"3,97"
6467335,"Lana Wachowski
",0,0.0,205,5465,"4,1"
75822,"Melissa Scott
",0,0.0,1582,14886,"3,95"
6451976,"Lola Karns
",1,0.0,48,263,"3,89"
9233,"Jeff Noon
",1,14.0,1150,18951,"3,9"
9800707,"Julia Pierpont
",0,0.0,1590,11260,"2,91"
387985,"Matt Phelan
",1,,4141,25869,"3,87"
435891,"Lidia Yuknavitch
",0,0.0,2869,16659,"3,73"
6423089,"Pam B. Morris
",1,0.0,23,58,"3,52"
114752,"Andy Runton
",1,0.0,880,14868,"4,11"
232825,"Thomas Thompson
",1,0.0,322,3509,"4,14"
5782568,"Sharma Shields
",0,0.0,311,1480,"3,61"
7812495,"Dana Simpson
",0,,1803,17559,"4,15"
3283808,"Candace Dempsey
",1,0.0,78,566,"3,76"
904440,"T.J. English
",1,,1019,9306,"3,93"
