id_livre,id_auteur
13737,8538
7337871,3237942
30968750,5298677
16137205,37607
77589,43999
16126395,5595081
27917957,4823432
39916,6884287
12969636,2696
15826934,2261547
26192646,9824300
29938354,7020203
35604686,15450609
34726469,16640489
28245707,7154841
30858,17295
36118682,15600590
1140987,70312
28458598,14834224
32939643,5784542
406575,230318
35106178,8759
36117813,5193034
17230517,4558309
4477,3078
25089757,1041872
29430869,8258
195211,29947
2063563,884168
3398701,1431814
109726,15975
821026,207466
2506250,1111511
134958,78035
237900,10547
72694,6944
1004183,72012
6663818,46245
43603,24508
6601221,133854
290252,6214
10841337,4147574
167845,44037
3121162,3530
6052079,2986307
133486,40882
1932042,99836
6746528,922699
1205982,3510823
12084655,1045593
15748293,6440498
6617506,2986789
17133266,3072557
12176602,4529674
100834,58194
234559,24655
8849382,1217665
12924307,164576
12985143,4124788
9797936,4015097
7664735,3351599
9484114,4024160
10586317,15035
12384972,5136485
18251073,1731002
17204568,6452601
1146093,22414
16071790,6175529
24334,13669
6348864,2457566
13037689,3342174
17612258,6995972
35125,11735
7958702,800187
1005680,386455
209576,122676
17798233,6875794
13108849,5288391
5294,3572
18243325,3020417
15814895,3409997
32987,18495
239810,140320
15738354,4822512
21526646,7045140
15793074,4820
7575266,885506
17316770,5804715
15710557,6425045
5704478,747437
50750,28550
11301,61105
24501994,12636907
22609434,72439
2884065,317354
18187566,5607272
131060,73699
4485,3089
25560247,5100743
475166,46603
1397889,108007
13931214,3167424
404857,229443
147602,4645
12436013,18880
13626818,3370555
22775126,7109423
20737459,7759811
354258,22889
22399098,4428962
449189,26766
16150320,5784345
11672159,4719155
25867345,6802954
22825631,2852315
27015399,14469474
23199714,5337983
7767021,588356
12190308,5081840
28217831,7276000
9824,6414
3319544,52862
10577,5858
276123,266178
32941909,16068544
32721063,15423679
350790,81096
19447,11653
118824,68790
33158544,14612163
209571,29482
32320661,16022936
9415946,2884780
6798263,58605
23746004,5363529
275245,5217
6101138,58851
28096541,2871046
25733965,7155436
373009,8694
6263078,990148
1128364,79632
5451,3681
178196,3424683
58094,32674
18212,11004
993839,269098
263550,24827
6202108,27212
2999282,10482
49614,27944
891922,4773
9415966,1141204
10957730,4736939
11724850,767547
6541058,2958986
12354504,1325722
12547098,2770941
23316,5686
12594758,5195639
13490992,1530940
476103,73528
10364135,4112359
6423507,22067
11785661,4967856
14061520,1122775
842264,71159
12974770,2919206
5648871,790918
17157641,6860161
420297,967839
1547026,2882578
17907218,6540645
11186443,184312
18683541,5044405
192888,8734
124982,71991
303615,159357
2210839,463173
20550167,7091608
1053783,304225
15783386,5763676
9996645,4513317
13450407,5622767
13414964,519824
13630629,4485813
18069353,7131935
18591715,4811802
52101,23924
17212972,6567432
17437203,5755802
478246,137130
8934126,1179982
13502958,8588
10048876,123719
191411,5792
23153351,5155341
55096,31095
29405093,13672918
23310751,5822460
18191815,7171528
25908870,4724550
22668848,482295
34511672,1571853
23281789,588356
23719270,4774653
35924698,15225448
7938057,25573
30134847,8534434
15832002,5360266
93273,13867
6515834,1362751
18782912,7384403
17924987,3413449
10201216,4605878
17204058,6876994
14553840,6075654
272211,7810781
153219,6256
72441,25492
69864,22515
6930002,2916205
1655668,111012
8379305,4062676
30919,11315
267745,3119
482889,142411
1025039,878225
280499,163176
9550264,4108184
10757749,3409564
13449858,2839407
17832415,7056720
17786125,3342174
18730333,7365697
18210684,10319
3133562,846795
912218,466652
18154,30891
14743629,4114202
21538656,6863455
1003985,456850
15816412,4486715
20632650,4149342
1861535,306449
10599735,88036
10381472,944594
6121374,3102205
9859436,4499623
18659745,5181752
16135109,91168
17798654,6451816
20518878,7215201
19102837,1337488
2465823,270447
13411546,4619719
906860,7074786
22886708,2925639
17863,8794
16158525,6583160
324296,3352
13130990,5756976
29075421,7233168
1765082,24953
30893014,480279
31423551,9831940
25072476,13574409
4110127,41954
336734,41093
34262106,16437249
18209411,6872503
248170,145047
201126,2059918
23012543,10305
36373463,6485178
9999,6526
1991039,904719
15738358,4824985
10196362,458771
562747,203076
1201724,56162
403129,99642
763426,15435
116297,67406
160629,70993
107799,62357
3919080,498980
833550,49420
1311355,147221
111044,36718
5220293,5030329
5931169,9237
16210411,6612545
12814594,1226977
11508357,4108184
641936,186034
13488738,5406631
6734445,2882485
6605685,5813022
266485,858
817377,23294
15989598,739875
3011919,1294984
11082037,12470
220755,90090
16142151,1023510
20946280,6941668
21948425,7163319
16101026,4718528
186337,27341
10765906,969638
2320230,1042875
11367737,1713021
13624584,4499623
133018,14965
269795,10108
12000129,140894
133017,6153795
12986169,4074044
6280641,2854971
18221995,5771850
109901,63607
1705697,1161372
25000053,13486461
387627,91578
6862,2408
11438693,4773763
20737479,7759811
13270,2192
22836575,6921953
11962848,154791
17566814,4519247
12788665,14655
13330370,735413
2615,1792
859500,34171
12788061,5251026
15721624,414681
31451186,33919
38390771,14434144
203968,16166
40776163,429
25813942,71170
11023952,71956
