id_livre,id_award,date
8235178,18,2014-01-01
7824322,18,2016-01-01
27774758,18,2018-01-01
693208,18,2011-01-01
6408862,18,2015-01-01
13376,18,2008-01-01
6604794,18,2013-01-01
270805,18,2013-01-01
5152478,18,2014-01-01
23395680,18,2019-01-01
43015,18,2010-01-01
43933,18,2008-01-01
35504431,18,2020-01-01
7719245,18,2013-01-01
1314332,18,2012-01-01
17851885,18,2017-01-01
11564,18,2005-01-01
11925514,18,2015-01-01
6050678,18,2013-01-01
13326831,18,2015-01-01
4932435,18,2013-01-01
18798983,18,2018-01-01
9565548,18,2017-01-01
187812,18,2010-01-01
28954189,18,2019-01-01
25614492,18,2018-01-01
19549841,18,2015-01-01
9378297,18,2015-01-01
64481,18,2009-01-01
77160,18,2007-01-01
6316171,18,2014-01-01
10798416,18,2015-01-01
28763485,18,2020-01-01
17182126,18,2016-01-01
17231,18,2007-01-01
46777,18,2008-01-01
359410,18,2011-01-01
17020,18,2008-01-01
33385229,18,2020-01-01
15818107,18,2016-01-01
5632446,18,2012-01-01
33413128,18,2019-01-01
34534,18,2007-01-01
32571395,18,2019-01-01
3238153,18,2013-01-01
29780253,18,2019-01-01
23228,18,2008-01-01
34728667,18,2020-01-01
7766027,18,2014-01-01
402013,18,2005-01-01
7157310,18,2016-01-01
201114,18,2009-01-01
954674,18,2013-01-01
15839984,18,2016-01-01
30334,18,2009-01-01
11861815,18,2015-01-01
44170,18,2012-01-01
1254951,18,2010-01-01
13522285,18,2015-01-01
13477676,18,2017-01-01
186103,18,2009-01-01
13597723,18,2017-01-01
32145,18,2006-01-01
19351043,18,2018-01-01
662597,18,2005-01-01
6420846,18,2013-01-01
287861,18,2006-01-01
9975679,18,2014-01-01
22910900,18,2018-01-01
143727,18,2008-01-01
7362158,18,2016-01-01
28243032,18,2019-01-01
18075234,18,2017-01-01
6457229,18,2013-01-01
28374007,18,2019-01-01
213652,18,2008-01-01
162086,18,2009-01-01
19448,18,2007-01-01
1629601,18,2011-01-01
24807186,18,2019-01-01
7797874,18,2010-01-01
3188580,18,2013-01-01
12291438,18,2015-01-01
7095831,18,2013-01-01
13069935,18,2015-01-01
6338619,18,2012-01-01
17668473,18,2017-01-01
34810320,18,2020-01-01
79876,18,2010-01-01
16178,18,2009-01-01
3700085,18,2014-01-01
94064,18,2006-01-01
18079527,18,2016-01-01
10909,18,2009-01-01
33356,18,2009-01-01
15777621,18,2016-01-01
29236380,18,2019-01-01
7818683,18,2014-01-01
33830437,18,2020-01-01
289601,18,2008-01-01
5303373,18,2013-01-01
20898019,18,2019-01-01
25812109,18,2020-01-01
25613472,18,2019-01-01
2177236,18,2011-01-01
11178225,18,2015-01-01
275844,18,2011-01-01
11797365,18,2015-01-01
3788053,18,2011-01-01
47076,18,2009-01-01
18599754,18,2016-01-01
24974996,18,2020-01-01
33294200,18,2020-01-01
24921954,18,2019-01-01
18659623,18,2017-01-01
