id,saga_name
12444166,Fever 
8339286,
6465063,The Horus Heresy 
38463,
17283481,
186668,Tales of the Otori 
7233473,
17458478,Cole 
3675828,Myron Bolitar 
11378659,
353761,
71111,
744224,
7519179,
399212,
1433867,
18112657,Yearning Series 
293951,
7074259,
1357195,
20321703,The Ghost Bird 
18714697,The Ghost Bird 
1167033,
6722482,
16058721,Afterlife Saga 
21856225,
20567999,The Undergrad Years 
5723653,Greywalker 
22751611,
207918,
1118616,La trilogie des jumeaux 
384221,
17408601,Afterlife Saga 
16110552,Afterlife Saga 
21801701,
18374102,Carnelyan Pack 
30658,
7171561,
776175,
18295852,
20483084,The Guardian Herd 
84463,
24238873,The Damned Hunger Chronicles 
7139340,KayÄ±p GÃ¼l 
22892122,Manwhore 
17700404,Coco Pinchard 
13415323,
13410943,The Kissing Booth 
25909126,The Damned Hunger Chronicles 
12015403,
25935012,
23019022,Breathless 
65388,Mikael 
782519,
29776603,
29004052,
29003857,
13505635,
23398748,
603387,
27272505,
1048897,
440638,
548370,
7881207,
130119,
23466036,Until the End of the World 
26212359,Limits of Destiny 
6912491,
18589573,
1161134,
11547633,
775198,
182136,
36411879,Tainted Hearts 
3170458,Gormenghast 
37569318,
34091026,
724666,
432020,Yu Yu Hakusho 
36469581,
6455256,Michael Bennett 
40864841,
34739995,
44581535,Call Me By Your Name  
254501,
5996786,
11205802,Emi Lost & Found 
36647568,
11284,Strvinarska uteha 
109326,
872789,Anybodies 
28660,The Wars of Light and Shadow 
77789,
882053,The Sacketts 
15682,
137446,
224424,
357173,
11436,Redemption 
3250465,
541920,World War II Liberation Trilogy 
21420175,Emi Lost & Found 
763489,Five Children 
112080,The Lymond Chronicles 
160,
89716,Tales from Alcatraz 
21420189,Emi Lost & Found 
105999,Leigh Botts 
34303,
2350129,
66692,The Legend of Drizzt 
328064,
338131,
381364,Trilogy of Desire 
6397351,Empire 
2781819,Doppelganger 
33484,Conan the Cimmerian 
362888,Korre 
6941324,Guardians of Eternity 
7871086,Goddess Summoning 
7696504,
765811,Brewster Place 
3212912,
2972472,Argeneau 
11529182,
692871,
6273,
169875,Enchanted Forest Chronicles 
7789265,Der Augensammler 
781132,
12864154,
46180,
11402993,
9874196,Girl Genius Novels 
5659537,Naamah Trilogy 
11792612,
129909,
895886,
457841,
6371720,Supers of Noble's Green 
14288454,
16283548,
9655178,The Homelanders 
384579,
6419,
16049402,
3993839,Joe Ledger 
8951449,The Hollows 
6318413,
11455154,Dark Ink Chronicles 
2054504,
953773,
13524900,
13097681,Denazen 
12509045,
311196,
527495,
27817191,
13153400,
12384681,Cut & Run 
27550,
10718998,
73906,The Pendragon Cycle 
11549777,Causal Enchantment 
5557442,
25193,
2961481,
5045718,Besnilo â Atlantida â 1999 
18308787,
15724908,Daughters of Zeus 
5082616,Lowcountry Tales 
18487180,Roads 
3173438,School of Fear 
18104749,
6582080,Peter and the Starcatchers 
18129599,Creepy Hollow 
21468450,The Andrades 
12578294,Mind Games 
18310201,
7646410,
16122643,The Blackstone Affair 
30843,
18858489,
22847427,
293602,
18105451,Kanin Chronicles 
7097866,Greywalker 
23209862,
22466924,
18188319,
13608133,Hellequin Chronicles 
101191,
22088616,
43691,
3084415,Ben Hope 
6520376,Young Samurai 
9628203,
6276276,
44323,
15843041,
22915011,
13432143,
24002318,Immortals After Dark 
21853636,
546255,Nancy Drew Mystery Stories 
10187223,
129877,
26153423,
20649195,Because You'll Never Meet Me 
18774919,Seraph of the End: Vampire Reign 
22046891,The League: Nemesis Rising 
29060994,
6344832,Harper Connelly 
23299513,Ravenspire 
2161966,
1364772,
30558257,Cradle 
26085520,Everland 
19161872,
2624112,
23533039,Imperial Radch 
7114176,
24382227,
18674889,
28480416,Limits of Destiny 
31349426,
10589240,
29496453,
