id_genre,id_auteur
37,4485813
37,1312879
45,1312879
37,4530256
37,8440277
32,14235866
37,13848696
37,14031468
37,14834224
37,7055613
37,15127507
37,13525505
32,14674797
37,14358948
5,15218531
32,15218531
5,4615776
37,13414088
37,8196241
89,17120246
37,17999118
2,5347676
37,3131761
45,3131761
5,16722065
5,8587
5,142270
5,338705
5,61659
32,61659
37,113844
46,113844
32,174708
5,4106
37,344618
5,86265
37,86265
5,272814
5,38951
2,3393956
2,6544265
5,8178
5,7963
27,7963
37,5565007
5,5116849
32,7040319
1,4714290
5,6480195
5,6226401
32,5416819
2,6551996
37,5808070
72,5808070
5,5829491
6,87104
37,5042085
5,71479
37,5029571
5,1039943
5,5878124
5,6540287
1,150482
2,4849861
37,4435742
5,6522690
1,5436451
5,511372
27,4788217
37,17142565
2,8472193
37,4097828
5,5095502
1,1958588
5,1958588
32,1958588
5,4875841
2,5157126
5,6441991
29,5391254
32,5391254
5,2767837
5,6517460
2,6599635
32,5423648
2,8427107
2,18002228
27,7094314
2,6538202
2,6870069
58,6870069
2,5763676
2,6466717
2,6590457
2,6446815
2,5255580
58,6863360
2,2952211
5,5180626
58,6568302
2,4724550
2,7163319
2,5784542
2,7375780
37,7445352
2,8421372
37,99642
37,1375073
37,2951796
2,2949594
5,2900815
37,2946462
72,2946462
37,293603
37,2885316
37,1254282
58,1254282
5,560012
37,4667368
37,5416090
2,3471272
37,4106085
58,4792225
37,4750309
37,4718186
37,5044405
37,4737695
37,3319171
37,4575368
37,5430977
5,4735144
37,5322924
37,4342615
5,213659
37,213659
45,213659
37,4575326
37,45927
58,4983102
37,4824952
37,3517421
37,5560132
37,4074084
45,4074084
5,4928927
37,4873609
37,4983109
27,4575379
37,91168
37,4949584
37,5287439
37,5139707
45,5139707
37,4651111
5,4610401
37,5191012
37,5257588
58,4632961
37,5040774
37,5130544
37,4094048
37,519824
37,4134859
45,4134859
37,4687048
37,4949972
5,4807573
5,3892
6,9355
647,8993
9,375
27,10356
5,13078
27,13078
79,21578
9,2122
5,824409
27,824409
27,3406353
9,20357
118,5754446
27,6649
27,3352
9,466
27,466
5,823146
31,19405
5,28345
5,3539
118,6191
5,173
29,173
5,2916869
32,7086094
5,4349837
5,11746
5,1441
37,1112218
5,16560
647,16560
2,2909019
6,2875124
5,1351903
1,1489978
5,26163
5,14080
5,342135
9,23607
5,6243
46,17765
45,10263
5,16759765
118,7084
46,1476
9,11395
9,3277
46,3277
95,16201
9,3032451
46,16541
213,16541
9,776
10,776
5,1563
46,15402
9,15877
118,21559
46,13360
9,785914
46,395812
45,22004
9,7982
46,7372
9,1847
5,16494
46,16494
9,419
46,40820
466,788461
9,3317
46,8458
466,256
9,14053
46,14053
9,133538
9,1116816
46,1899
95,1899
45,843200
27,14041521
74,38329
213,38329
79,12733
2,42211
2,18067
5,18067
2,28574
5,41193
2,88445
5,88445
2,23890
5,23890
5,285217
29,285217
45,285217
31,16070
5,410680
5,228089
118,6188
118,1938
466,1938
5,18317
9,6172
118,6172
119,6172
5,159
647,159
31,232932
29,7440
5,1481537
5,5132
29,13847
5,8249
29,8249
5,2730977
89,2730977
29,1438
29,1633234
5,546979
5,7768501
21,7768501
5,1139632
37,1025280
37,966321
45,966321
5,16967
32,16967
5,231914
5,17055
9,17055
37,82453
37,126447
7,14465
7,12540
45,112892
1,22421
5,262262
27,7085837
1,6589431
2,7223625
2,3213942
9,13311
5,4309838
95,2774856
119,4493
170,848
95,108692
1,584702
95,2778471
5,12665
9,19794
95,19794
27,6200344
2,4331713
2,7179522
5,8077668
7,7068373
5,6868719
2,6526309
7,5761611
29,1808111
58,7172518
2,4558309
5,7013486
37,6950900
37,5890982
46,6561688
5,7448521
2,5872743
2,8446330
58,8446330
32,6888212
45,6888212
5,6938994
2,7388591
2,7235737
5,5216431
2,7734306
5,12712
5,47153
37,4665968
2,6579843
5,2925644
2,6583811
5,7055294
37,4712387
5,4399719
5,1219600
5,4415109
37,4774430
1,4605878
37,4719619
2,3378915
119,3378915
7,6644323
5,5806102
27,5806102
5,80984
7,80984
7,10366
7,6926240
7,128447
1,12577
5,18874
1,8050
5,8050
7,132378
45,132378
7,12505
7,13388
37,10909117
5,588356
72,588356
5,16982567
37,16527452
5,7707972
37,15298200
2,14469474
32,7047233
37,5833089
5,7703847
37,8056539
32,14324685
37,7359319
